input_idx,layer_name,layer_type,op_type,M,K,P,input_sparsity,output_sparsity,weight_sparsity,input_shape,output_shape,attention_sparsity
1,encoder.layer.3.attention.self.value,Linear,MM,64,768,768,0.0,0.0,0.4995676676432292,"(1, 64, 768)","(1, 64, 768)",0.02264404296875
1,encoder.layer.3.attention.output.dense,Linear,MM,64,768,768,0.0,0.0,0.4997304280598958,"(1, 64, 768)","(1, 64, 768)",0.02264404296875
1,encoder.layer.3.intermediate.dense,Linear,MM,64,768,3072,0.0,0.0,0.49971771240234375,"(1, 64, 768)","(1, 64, 3072)",0.0
1,encoder.layer.3.output.dense,Linear,MM,64,3072,768,0.0,0.0,0.4997520446777344,"(1, 64, 3072)","(1, 64, 768)",0.0
1,encoder.layer.4.attention.self.query,Linear,MM,64,768,768,0.0,0.0,0.4997846815321181,"(1, 64, 768)","(1, 64, 768)",0.022806803385416668
1,encoder.layer.4.attention.self.key,Linear,MM,64,768,768,0.0,0.0,0.4994591606987847,"(1, 64, 768)","(1, 64, 768)",0.022806803385416668
1,encoder.layer.4.attention.self.value,Linear,MM,64,768,768,0.0,0.0,0.5005391438802084,"(1, 64, 768)","(1, 64, 768)",0.022806803385416668
1,encoder.layer.4.attention.output.dense,Linear,MM,64,768,768,0.0,0.0,0.5011681450737847,"(1, 64, 768)","(1, 64, 768)",0.022806803385416668
1,encoder.layer.4.intermediate.dense,Linear,MM,64,768,3072,0.0,0.0,0.500176747639974,"(1, 64, 768)","(1, 64, 3072)",0.0
1,encoder.layer.4.output.dense,Linear,MM,64,3072,768,0.0,0.0,0.5002182854546441,"(1, 64, 3072)","(1, 64, 768)",0.0
1,encoder.layer.5.attention.self.query,Linear,MM,64,768,768,0.0,0.0,0.4993404812282986,"(1, 64, 768)","(1, 64, 768)",0.017862955729166668
1,encoder.layer.5.attention.self.key,Linear,MM,64,768,768,0.0,0.0,0.5002407497829862,"(1, 64, 768)","(1, 64, 768)",0.017862955729166668
1,encoder.layer.5.attention.self.value,Linear,MM,64,768,768,0.0,0.0,0.5005357530381944,"(1, 64, 768)","(1, 64, 768)",0.017862955729166668
1,encoder.layer.5.attention.output.dense,Linear,MM,64,768,768,0.0,0.0,0.5002950032552084,"(1, 64, 768)","(1, 64, 768)",0.017862955729166668
1,encoder.layer.5.intermediate.dense,Linear,MM,64,768,3072,0.0,0.0,0.5003242492675781,"(1, 64, 768)","(1, 64, 3072)",0.0
1,encoder.layer.5.output.dense,Linear,MM,64,3072,768,0.0,0.0,0.49986902872721356,"(1, 64, 3072)","(1, 64, 768)",0.0
1,encoder.layer.6.attention.self.query,Linear,MM,64,768,768,0.0,0.0,0.4997134738498264,"(1, 64, 768)","(1, 64, 768)",0.022135416666666668
1,encoder.layer.6.attention.self.key,Linear,MM,64,768,768,0.0,0.0,0.4997524685329861,"(1, 64, 768)","(1, 64, 768)",0.022135416666666668
1,encoder.layer.6.attention.self.value,Linear,MM,64,768,768,0.0,0.0,0.4987436930338542,"(1, 64, 768)","(1, 64, 768)",0.022135416666666668
1,encoder.layer.6.attention.output.dense,Linear,MM,64,768,768,0.0,0.0,0.5000474717881944,"(1, 64, 768)","(1, 64, 768)",0.022135416666666668
1,encoder.layer.6.intermediate.dense,Linear,MM,64,768,3072,0.0,0.0,0.5006078084309896,"(1, 64, 768)","(1, 64, 3072)",0.0
1,encoder.layer.6.output.dense,Linear,MM,64,3072,768,0.0,0.0,0.5001593695746528,"(1, 64, 3072)","(1, 64, 768)",0.0
1,encoder.layer.7.attention.self.query,Linear,MM,64,768,768,0.0,0.0,0.4996083577473958,"(1, 64, 768)","(1, 64, 768)",0.013387044270833334
1,encoder.layer.7.attention.self.key,Linear,MM,64,768,768,0.0,0.0,0.4999830457899306,"(1, 64, 768)","(1, 64, 768)",0.013387044270833334
1,encoder.layer.7.attention.self.value,Linear,MM,64,768,768,0.0,0.0,0.4997168646918403,"(1, 64, 768)","(1, 64, 768)",0.013387044270833334
1,encoder.layer.7.attention.output.dense,Linear,MM,64,768,768,0.0,0.0,0.4988742404513889,"(1, 64, 768)","(1, 64, 768)",0.013387044270833334
1,encoder.layer.7.intermediate.dense,Linear,MM,64,768,3072,0.0,0.0,0.49993938869900173,"(1, 64, 768)","(1, 64, 3072)",0.0
1,encoder.layer.7.output.dense,Linear,MM,64,3072,768,0.0,0.0,0.5000898573133681,"(1, 64, 3072)","(1, 64, 768)",0.0
1,encoder.layer.8.attention.self.query,Linear,MM,64,768,768,0.0,0.0,0.4995676676432292,"(1, 64, 768)","(1, 64, 768)",0.013570149739583334
1,encoder.layer.8.attention.self.key,Linear,MM,64,768,768,0.0,0.0,0.5002560085720487,"(1, 64, 768)","(1, 64, 768)",0.013570149739583334
1,encoder.layer.8.attention.self.value,Linear,MM,64,768,768,0.0,0.0,0.4999220106336806,"(1, 64, 768)","(1, 64, 768)",0.013570149739583334
1,encoder.layer.8.attention.output.dense,Linear,MM,64,768,768,0.0,0.0,0.50018310546875,"(1, 64, 768)","(1, 64, 768)",0.013570149739583334
1,encoder.layer.8.intermediate.dense,Linear,MM,64,768,3072,0.0,0.0,0.49975882636176217,"(1, 64, 768)","(1, 64, 3072)",0.0
1,encoder.layer.8.output.dense,Linear,MM,64,3072,768,0.0,0.0,0.5001135932074653,"(1, 64, 3072)","(1, 64, 768)",0.0
1,encoder.layer.9.attention.self.query,Linear,MM,64,768,768,0.0,0.0,0.4998592800564236,"(1, 64, 768)","(1, 64, 768)",0.013203938802083334
1,encoder.layer.9.attention.self.key,Linear,MM,64,768,768,0.0,0.0,0.4996456570095486,"(1, 64, 768)","(1, 64, 768)",0.013203938802083334
1,encoder.layer.9.attention.self.value,Linear,MM,64,768,768,0.0,0.0,0.4998524983723958,"(1, 64, 768)","(1, 64, 768)",0.013203938802083334
1,encoder.layer.9.attention.output.dense,Linear,MM,64,768,768,0.0,0.0,0.5004764133029513,"(1, 64, 768)","(1, 64, 768)",0.013203938802083334
