input_idx,layer_name,layer_type,op_type,M,K,P,input_sparsity,output_sparsity,weight_sparsity,input_shape,output_shape
1,layer4.0.conv3,Conv2d,MM,49,512,2048,0.4818638392857143,0.0,0.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
1,layer4.0.downsample.0,Conv2d,MM,49,1024,2048,0.35225007971938777,0.0,0.0,"(1, 1024, 14, 14)","(1, 2048, 7, 7)"
1,layer4.1.conv1,Conv2d,MM,49,2048,512,0.4884705835459184,0.0,0.0,"(1, 2048, 7, 7)","(1, 512, 7, 7)"
1,layer4.1.conv2,Conv2d,MM,49,4608,512,0.498046875,0.0,0.0,"(1, 512, 7, 7)","(1, 512, 7, 7)"
1,layer4.1.conv3,Conv2d,MM,49,512,2048,0.5106026785714286,0.0,9.5367431640625e-07,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
1,layer4.2.conv1,Conv2d,MM,49,2048,512,0.3784677933673469,0.0,0.0,"(1, 2048, 7, 7)","(1, 512, 7, 7)"
1,layer4.2.conv2,Conv2d,MM,49,4608,512,0.5127152423469388,0.0,0.0,"(1, 512, 7, 7)","(1, 512, 7, 7)"
1,layer4.2.conv3,Conv2d,MM,49,512,2048,0.4939811862244898,0.0,0.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
1,fc,Linear,MV,1,2048,1000,0.052734375,0.0,0.0,"(1, 2048)","(1, 1000)"
2,conv1,Conv2d,MM,12544,147,64,0.0,0.0,0.0,"(1, 3, 224, 224)","(1, 64, 112, 112)"
2,layer1.0.conv1,Conv2d,MM,3136,64,64,0.00244140625,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
2,layer1.0.conv2,Conv2d,MM,3136,576,64,0.5210010762117347,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
2,layer1.0.conv3,Conv2d,MM,3136,64,256,0.5147181919642857,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
2,layer1.0.downsample.0,Conv2d,MM,3136,64,256,0.00244140625,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
2,layer1.1.conv1,Conv2d,MM,3136,256,64,0.5341834243463011,0.0,0.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
2,layer1.1.conv2,Conv2d,MM,3136,576,64,0.4874292490433674,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
2,layer1.1.conv3,Conv2d,MM,3136,64,256,0.4309131855867347,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
2,layer1.2.conv1,Conv2d,MM,3136,256,64,0.38753961057079084,0.0,0.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
2,layer1.2.conv2,Conv2d,MM,3136,576,64,0.5118682238520408,0.0,0.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
2,layer1.2.conv3,Conv2d,MM,3136,64,256,0.4407934072066326,0.0,0.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
2,layer2.0.conv1,Conv2d,MM,3136,256,128,0.3323787767059949,0.0,0.0,"(1, 256, 56, 56)","(1, 128, 56, 56)"
2,layer2.0.conv2,Conv2d,MM,784,1152,128,0.5354352678571429,0.0,0.0,"(1, 128, 56, 56)","(1, 128, 28, 28)"
2,layer2.0.conv3,Conv2d,MM,784,128,512,0.4392936862244898,0.0,0.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
2,layer2.0.downsample.0,Conv2d,MM,784,256,512,0.3323787767059949,0.0,0.0,"(1, 256, 56, 56)","(1, 512, 28, 28)"
2,layer2.1.conv1,Conv2d,MM,784,512,128,0.5039162149234694,0.0,0.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
2,layer2.1.conv2,Conv2d,MM,784,1152,128,0.4963229432397959,0.0,0.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
2,layer2.1.conv3,Conv2d,MM,784,128,512,0.5110411352040817,0.0,0.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
2,layer2.2.conv1,Conv2d,MM,784,512,128,0.4083974410076531,0.0,0.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
2,layer2.2.conv2,Conv2d,MM,784,1152,128,0.4995914381377551,0.0,0.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
2,layer2.2.conv3,Conv2d,MM,784,128,512,0.4738719706632653,0.0,0.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
2,layer2.3.conv1,Conv2d,MM,784,512,128,0.36758111447704084,0.0,0.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
2,layer2.3.conv2,Conv2d,MM,784,1152,128,0.5185646524234694,0.0,0.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
2,layer2.3.conv3,Conv2d,MM,784,128,512,0.49808673469387754,0.0,0.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
2,layer3.0.conv1,Conv2d,MM,784,512,256,0.3543651347257653,0.0,0.0,"(1, 512, 28, 28)","(1, 256, 28, 28)"
2,layer3.0.conv2,Conv2d,MM,196,2304,256,0.4858498086734694,0.0,0.0,"(1, 256, 28, 28)","(1, 256, 14, 14)"
