input_idx,layer_name,layer_type,op_type,M,K,P,input_sparsity,output_sparsity,weight_sparsity,nm_compatibility,input_shape,output_shape
1,layer3.0.conv3,Conv2d,MM,196,256,1024,0.5116,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
1,layer3.0.downsample.0,Conv2d,MM,196,512,1024,0.3019,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 1024, 14, 14)"
1,layer3.1.conv1,Conv2d,MM,196,1024,256,0.4918,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
1,layer3.1.conv2,Conv2d,MM,196,2304,256,0.5528,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
1,layer3.1.conv3,Conv2d,MM,196,256,1024,0.5399,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
1,layer3.2.conv1,Conv2d,MM,196,1024,256,0.3677,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
1,layer3.2.conv2,Conv2d,MM,196,2304,256,0.5126,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
1,layer3.2.conv3,Conv2d,MM,196,256,1024,0.5075,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
1,layer3.3.conv1,Conv2d,MM,196,1024,256,0.3219,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
1,layer3.3.conv2,Conv2d,MM,196,2304,256,0.5004,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
1,layer3.3.conv3,Conv2d,MM,196,256,1024,0.5472,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
1,layer3.4.conv1,Conv2d,MM,196,1024,256,0.3167,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
1,layer3.4.conv2,Conv2d,MM,196,2304,256,0.4896,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
1,layer3.4.conv3,Conv2d,MM,196,256,1024,0.4767,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
1,layer3.5.conv1,Conv2d,MM,196,1024,256,0.3416,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 256, 14, 14)"
1,layer3.5.conv2,Conv2d,MM,196,2304,256,0.4807,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 256, 14, 14)"
1,layer3.5.conv3,Conv2d,MM,196,256,1024,0.4892,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
1,layer4.0.conv1,Conv2d,MM,196,1024,512,0.3166,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 512, 14, 14)"
1,layer4.0.conv2,Conv2d,MM,49,4608,512,0.5375,0.0,0.5,1.0,"(1, 512, 14, 14)","(1, 512, 7, 7)"
1,layer4.0.conv3,Conv2d,MM,49,512,2048,0.5248,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
1,layer4.0.downsample.0,Conv2d,MM,49,1024,2048,0.3166,0.0,0.5,1.0,"(1, 1024, 14, 14)","(1, 2048, 7, 7)"
1,layer4.1.conv1,Conv2d,MM,49,2048,512,0.4863,0.0,0.5,1.0,"(1, 2048, 7, 7)","(1, 512, 7, 7)"
1,layer4.1.conv2,Conv2d,MM,49,4608,512,0.5304,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 512, 7, 7)"
1,layer4.1.conv3,Conv2d,MM,49,512,2048,0.5222,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
1,layer4.2.conv1,Conv2d,MM,49,2048,512,0.3583,0.0,0.5,1.0,"(1, 2048, 7, 7)","(1, 512, 7, 7)"
1,layer4.2.conv2,Conv2d,MM,49,4608,512,0.4722,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 512, 7, 7)"
1,layer4.2.conv3,Conv2d,MM,49,512,2048,0.4961,0.0,0.5,1.0,"(1, 512, 7, 7)","(1, 2048, 7, 7)"
1,fc,Linear,MV,1,2048,1000,0.0552,0.0,0.5,1.0,"(1, 2048)","(1, 1000)"
2,conv1,Conv2d,MM,12544,147,64,0.0,0.0,0.5,1.0,"(1, 3, 224, 224)","(1, 64, 112, 112)"
2,layer1.0.conv1,Conv2d,MM,3136,64,64,0.0026,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
2,layer1.0.conv2,Conv2d,MM,3136,576,64,0.4503,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
2,layer1.0.conv3,Conv2d,MM,3136,64,256,0.5015,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
2,layer1.0.downsample.0,Conv2d,MM,3136,64,256,0.0026,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
2,layer1.1.conv1,Conv2d,MM,3136,256,64,0.4774,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
2,layer1.1.conv2,Conv2d,MM,3136,576,64,0.4942,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
2,layer1.1.conv3,Conv2d,MM,3136,64,256,0.5658,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
2,layer1.2.conv1,Conv2d,MM,3136,256,64,0.3405,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 64, 56, 56)"
2,layer1.2.conv2,Conv2d,MM,3136,576,64,0.5098,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 64, 56, 56)"
2,layer1.2.conv3,Conv2d,MM,3136,64,256,0.4903,0.0,0.5,1.0,"(1, 64, 56, 56)","(1, 256, 56, 56)"
2,layer2.0.conv1,Conv2d,MM,3136,256,128,0.3019,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 128, 56, 56)"
2,layer2.0.conv2,Conv2d,MM,784,1152,128,0.4857,0.0,0.5,1.0,"(1, 128, 56, 56)","(1, 128, 28, 28)"
2,layer2.0.conv3,Conv2d,MM,784,128,512,0.477,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
2,layer2.0.downsample.0,Conv2d,MM,784,256,512,0.3019,0.0,0.5,1.0,"(1, 256, 56, 56)","(1, 512, 28, 28)"
2,layer2.1.conv1,Conv2d,MM,784,512,128,0.476,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
2,layer2.1.conv2,Conv2d,MM,784,1152,128,0.5455,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
2,layer2.1.conv3,Conv2d,MM,784,128,512,0.4642,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
2,layer2.2.conv1,Conv2d,MM,784,512,128,0.3327,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
2,layer2.2.conv2,Conv2d,MM,784,1152,128,0.4396,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
2,layer2.2.conv3,Conv2d,MM,784,128,512,0.5626,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
2,layer2.3.conv1,Conv2d,MM,784,512,128,0.3449,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 128, 28, 28)"
2,layer2.3.conv2,Conv2d,MM,784,1152,128,0.4872,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 128, 28, 28)"
2,layer2.3.conv3,Conv2d,MM,784,128,512,0.5786,0.0,0.5,1.0,"(1, 128, 28, 28)","(1, 512, 28, 28)"
2,layer3.0.conv1,Conv2d,MM,784,512,256,0.302,0.0,0.5,1.0,"(1, 512, 28, 28)","(1, 256, 28, 28)"
2,layer3.0.conv2,Conv2d,MM,196,2304,256,0.4619,0.0,0.5,1.0,"(1, 256, 28, 28)","(1, 256, 14, 14)"
2,layer3.0.conv3,Conv2d,MM,196,256,1024,0.5114,0.0,0.5,1.0,"(1, 256, 14, 14)","(1, 1024, 14, 14)"
